Mes;genero_principal;generos_secundarios;cantidad_reproducciones;msPlayed;Minutos escuchados
2026-08;Rock Argentino;Folk Rock / Psychedelic Rock;2;303370;5.056.166.666.666.660
2026-08;Indie Rock;Experimental, Dream Pop, Lo-Fi;1;294307;4.905.116.666.666.660
2026-08;Indie Folk;Indie Rock / Bedroom Pop;6;275018;4.583.633.333.333.330
2026-08;Rock Argentino;Hard Rock / Blues Rock;1;272480;4.541.333.333.333.330
2026-08;Indie Rock;Art Rock, Alternative Rock;1;259000;4.316.666.666.666.660
2026-08;Indie Rock;Punk Folk, Experimental Rock;1;248007;413.345
2026-08;Rock Argentino;Murga Rock, Candombe Rock, Blues Rock;1;241747;4.029.116.666.666.660
2026-08;Indie Rock;Indie Psicodélico / Rock Argentino;1;232000;38.666.666.666.666.600
2026-08;Rock Argentino;Art Rock, Jazz Rock, Folk Rock;1;209893;34.982.166.666.666.600
2026-08;Canción de Autor;Pop Folk / Latin Singer-Songwriter;1;190003;3.166.716.666.666.660
2026-08;Rock Nacional;Pop Rock / New Wave;1;188240;31.373.333.333.333.300
2026-08;Indie Rock;Alternative Rock, Garage Rock;1;183956;3.065.933.333.333.330
2026-08;Canción de Autor;Indie Folk / Rock Argentino;3;179414;29.902.333.333.333.300
2026-08;Indie Pop;Rock Uruguayo / Psychedelic;1;177073;2.951.216.666.666.660
2026-08;Rock Argentino;Rock and Roll / Blues;1;174973;29.162.166.666.666.600
2026-08;Indie Pop;Canción de Autor, Art Pop;1;140650;23.441.666.666.666.600
2026-08;Indie Folk;Singer-Songwriter;1;69197;11.532.833.333.333.300
2026-08;Urbano / Trap;Trap Argentino / R&B;23;64929;108.215
2026-08;Canción de Autor;Indie Folk, Canción Platense;1;41714;0.6952333333333334
2026-08;Urbano Latino;Alternative Hip-Hop, Industrial Rap, Post-Punk;1;30403;0.5067166666666667
2026-08;Indie Folk;Acoustic, Singer-Songwriter;1;28088;0.46813333333333335
2026-08;Indie Pop;Indie Rock / Lo-Fi;1;14699;0.24498333333333333
2026-08;Indie Rock;Rock Alternativo / Fusion;1;7983;0.13305
2026-08;Rock Argentino;Hard Rock, Funk Rock, Folklore Rock;1;7070;0.11783333333333333
2026-08;Indie Pop;Twee Pop / Elefant Records;1;4486;0.07476666666666666
2026-08;Rock Nacional;Rock Barrial;1;2692;0.044866666666666666
2026-08;Rock Nacional;Blues Rock / Hard Rock / Indie Rock;1;364;0.006066666666666666
