dia_semana,hour,cantidad_reproducciones,msPlayed,minutosPlayed
Domingo,0,114,9080883,151.34805
Domingo,1,28,4369109,72.81848333333333
Domingo,2,16,3499322,58.32203333333333
Domingo,3,29,4634518,77.24196666666667
Domingo,4,12,2315242,38.58736666666667
Domingo,5,5,1083340,18.055666666666667
Domingo,6,8,1929040,32.150666666666666
Domingo,7,0,0,0.0
Domingo,8,0,0,0.0
Domingo,9,0,0,0.0
Domingo,10,7,726403,12.106716666666667
Domingo,11,173,14847513,247.45855
Domingo,12,519,59718140,995.3023333333333
Domingo,13,308,40783506,679.7251
Domingo,14,245,33457539,557.62565
Domingo,15,247,36989794,616.4965666666667
Domingo,16,278,34663497,577.72495
Domingo,17,138,18370260,306.171
Domingo,18,119,16226210,270.4368333333333
Domingo,19,223,25065042,417.7507
Domingo,20,305,29459547,490.99245
Domingo,21,178,25334960,422.2493333333333
Domingo,22,151,15838941,263.98235
Domingo,23,26,3381281,56.354683333333334
